id,true_type,predicted_type
01,高钾,高钾
02,铅钡,高钾
04,高钾,高钾
05,高钾,高钾
07,高钾,高钾
08,铅钡,铅钡
08严重风化点,铅钡,铅钡
09,高钾,高钾
10,高钾,高钾
11,铅钡,铅钡
12,高钾,高钾
13,高钾,高钾
14,高钾,高钾
16,高钾,高钾
18,高钾,高钾
19,铅钡,铅钡
20,铅钡,铅钡
21,高钾,铅钡
22,高钾,高钾
23未风化点,铅钡,铅钡
24,铅钡,铅钡
25未风化点,铅钡,铅钡
26,铅钡,铅钡
26严重风化点,铅钡,铅钡
27,高钾,高钾
28未风化点,铅钡,铅钡
29未风化点,铅钡,铅钡
31,铅钡,铅钡
32,铅钡,铅钡
33,铅钡,铅钡
34,铅钡,铅钡
35,铅钡,铅钡
36,铅钡,铅钡
37,铅钡,铅钡
38,铅钡,铅钡
39,铅钡,铅钡
40,铅钡,铅钡
41,铅钡,铅钡
44未风化点,铅钡,铅钡
45,铅钡,铅钡
46,铅钡,铅钡
47,铅钡,铅钡
48,铅钡,铅钡
49,铅钡,铅钡
49未风化点,铅钡,铅钡
50,铅钡,铅钡
50未风化点,铅钡,铅钡
52,铅钡,铅钡
53未风化点,铅钡,铅钡
54,铅钡,铅钡
54严重风化点,铅钡,铅钡
55,铅钡,铅钡
56,铅钡,铅钡
57,铅钡,铅钡
58,铅钡,铅钡
